scenario_group,scenario_name,eta_dis,row_shape_profile,case_id,ieff_slice,slice_order,h,b,t1,t2,i_single,i_sep,i_mono,length,slenderness,mu,q_b0,bolt_rows,axial_ratio,k_stick,peak_base_reaction,total_loop_energy,total_row_dissipation,final_min_q_b,final_mean_q_b,final_min_q_b_over_q_b0,rows_relaxed,composite_factor_final,max_abs_row_slip,slip_index,local_buckling_index,global_instability_index,energy_index,weak_state_label,n_newton_iterations_total,n_newton_failures,converged
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-032,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,2393.172105652397,35.0,0.35,1.0,3,0.1,0.35,43504.01730841398,15070894.048440382,0.852883025124462,1.0,1.0,1.0,0,1.0,1.218404321606375,1.218404321606375,0.0,0.0673076923076923,3.6188928972567176,slip_dominated,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-033,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,2393.172105652397,35.0,0.55,1.3,3,0.1,0.35,46611.447116076946,18271761.423944537,0.0,1.3,1.3,1.0,0,1.0,1.218404321606375,0.5964216958912324,0.0,0.0673076923076923,4.09500000000401,stiff_composite_like,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-034,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,2393.172105652397,35.0,0.2,0.7,5,0.1,0.35,43504.01730841398,9968629.789434051,2.0934260009876025,0.7,0.7,1.0,0,0.2,1.0072582498139109,2.5181456245347773,0.0,0.0673076923076923,2.3937135663227553,slip_dominated,377,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-035,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,2393.172105652397,35.0,0.35,1.0,5,0.1,0.35,45057.73221230507,17565737.09534621,0.11751346247828957,1.0,1.0,1.0,0,1.0,1.0072582498139109,1.0072582498139109,0.0,0.0673076923076923,4.072519058218304,slip_dominated,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-036,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,2393.172105652397,35.0,0.55,1.3,5,0.1,0.35,46611.447116076946,18271761.423944537,0.0,1.3,1.3,1.0,0,1.0,1.0072582498139109,0.4930634789298864,0.0,0.0673076923076923,4.09500000000401,stiff_composite_like,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-037,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3000.0,55.0,0.2,0.7,3,0.25,0.35,30154.129944995046,8129660.712285131,2.662532069627246,0.7,0.6999999999999998,1.0,0,0.3333333333333333,1.5273506473629426,3.8183766184073566,0.34023758757234224,0.2644230769230769,2.246696314102099,slip_dominated,375,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-038,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3000.0,55.0,0.35,1.0,3,0.25,0.35,21155.69706250727,3655716.847163472,1.9600999974491096,1.0,1.0,1.0,0,1.0,1.5273506473629426,1.5273506473629426,0.34023758757234224,0.2644230769230769,1.440004882357921,slip_dominated,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-039,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3000.0,55.0,0.55,1.3,3,0.25,0.35,0.04213041067123413,20.702878329623488,0.0,1.3,1.3,1.0,0,1.0,1.5273506473629426,0.7476541630447969,0.34023758757234224,0.2644230769230769,4.094998917207136,mixed_slip_stability,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-040,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3000.0,55.0,0.2,0.7,5,0.25,0.35,30154.129944995046,7652382.122104956,3.2513764673076255,0.7,0.7,1.0,0,0.2,1.2626650387177114,3.1566625967942787,0.2525584930582636,0.2644230769230769,2.114796584542999,slip_dominated,379,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-041,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3000.0,55.0,0.35,1.0,5,0.25,0.35,25161.38752451539,2816731.032844934,1.4091764482861309,1.0,1.0,1.0,0,1.0,1.2626650387177114,1.2626650387177114,0.2525584930582636,0.2644230769230769,0.9328880843383935,slip_dominated,367,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-042,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,3000.0,55.0,0.55,1.3,5,0.25,0.35,0.04213041067123413,20.702878329623488,0.0,1.3,1.3,1.0,0,1.0,1.2626650387177114,0.618087781190488,0.2525584930582636,0.2644230769230769,4.094998917207136,stiff_composite_like,361,0,True
